,out-degree-weight,in-degree-weight,out-degree,in-degree,bot,bc,lcc,ac
147.32.84.165,2.0,0.0,1.0,0.0,0,0.0,0,3.0360121522052123e-05
147.32.80.9,0.0,8.0,0.0,2.0,0,0.0,0,0.00010709001768431219
74.125.232.204,0.0,28.0,0.0,2.0,0,0.0,0,8.313491166432134e-07
192.168.88.121,0.0,16.0,0.0,8.0,0,0.0,0,5.688178166506197e-07
195.113.232.90,0.0,16.0,0.0,1.0,0,0.0,0,5.688178166506197e-07
192.168.88.148,0.0,12.0,0.0,2.0,0,0.0,0,4.813073833197552e-07
147.32.96.69,0.0,16.0,0.0,4.0,0,0.0,0,0.9999989612271554
82.96.64.4,0.0,169.0,0.0,1.0,0,0.0,0,3.916091891556189e-06
38.229.70.20,0.0,87.0,0.0,1.0,0,0.0,0,2.1221280082734662e-06
195.113.232.98,0.0,387.0,0.0,4.0,0,0.0,0,1.0041822224716707e-05
91.212.135.158,0.0,65612.0,0.0,46.0,0,0.0,0,0.0014356524140094987
65.55.88.22,0.0,49.0,0.0,13.0,0,0.0,0,1.2907788916302522e-06
216.32.180.22,0.0,147.0,0.0,36.0,0,0.0,0,3.4347845082364343e-06
65.74.143.171,0.0,10.0,0.0,2.0,0,0.0,0,4.3755216665432286e-07
216.17.3.48,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
218.213.85.200,0.0,7.0,0.0,2.0,0,0.0,0,3.719193416561744e-07
71.74.56.244,0.0,15.0,0.0,4.0,0,0.0,0,5.469402083179036e-07
74.6.136.65,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
72.167.238.201,0.0,6.0,0.0,2.0,0,0.0,0,3.500417333234583e-07
213.165.64.100,0.0,45.0,0.0,16.0,0,0.0,0,1.2032684582993877e-06
64.59.134.8,0.0,156.0,0.0,31.0,0,0.0,0,3.63168298323088e-06
24.71.223.11,0.0,212.0,0.0,41.0,0,0.0,0,4.856829049862983e-06
74.125.43.27,0.0,22.0,0.0,6.0,0,0.0,0,7.000834666469165e-07
72.14.213.27,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
216.32.181.178,0.0,55.0,0.0,18.0,0,0.0,0,1.422044541626549e-06
64.18.4.14,0.0,19.0,0.0,6.0,0,0.0,0,6.344506416487681e-07
216.163.188.57,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
216.33.127.20,0.0,5.0,0.0,1.0,0,0.0,0,3.281641249907421e-07
168.61.70.66,0.0,13.0,0.0,3.0,0,0.0,0,5.031849916524713e-07
208.65.145.13,0.0,11.0,0.0,3.0,0,0.0,0,4.5942977498703903e-07
65.55.92.184,0.0,11.0,0.0,2.0,0,0.0,0,4.594297749870389e-07
206.46.232.11,0.0,38.0,0.0,8.0,0,0.0,0,1.0501251999703749e-06
64.98.36.4,0.0,57.0,0.0,11.0,0,0.0,0,1.4657997582919813e-06
216.163.188.54,0.0,94.0,0.0,18.0,0,0.0,0,2.2752712666024787e-06
64.191.223.38,0.0,68.0,0.0,13.0,0,0.0,0,1.706453449951859e-06
209.181.247.105,0.0,32.0,0.0,6.0,0,0.0,0,9.188595499740781e-07
64.18.7.13,0.0,23.0,0.0,4.0,0,0.0,0,7.219610749796326e-07
64.18.6.13,0.0,4.0,0.0,2.0,0,0.0,0,3.0628651665802595e-07
212.82.111.207,0.0,6.0,0.0,2.0,0,0.0,0,3.500417333234583e-07
94.228.131.162,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
94.228.133.166,0.0,2.0,0.0,1.0,0,0.0,0,2.625312999925937e-07
65.55.37.88,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
65.55.37.104,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
64.136.44.37,0.0,13.0,0.0,3.0,0,0.0,0,5.031849916524713e-07
64.136.52.37,0.0,27.0,0.0,6.0,0,0.0,0,8.094715083104973e-07
94.228.131.154,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
165.212.8.32,0.0,10.0,0.0,2.0,0,0.0,0,4.3755216665432286e-07
74.125.67.27,0.0,82.0,0.0,16.0,0,0.0,0,2.012739966609885e-06
94.228.131.158,0.0,5.0,0.0,1.0,0,0.0,0,3.281641249907421e-07
205.178.149.7,0.0,19.0,0.0,4.0,0,0.0,0,6.344506416487681e-07
98.129.184.131,0.0,39.0,0.0,8.0,0,0.0,0,1.0720028083030911e-06
204.232.236.150,0.0,7.0,0.0,2.0,0,0.0,0,3.7191934165617446e-07
209.85.225.27,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
64.18.5.14,0.0,7.0,0.0,2.0,0,0.0,0,3.7191934165617446e-07
204.232.236.236,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
168.61.70.65,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
94.245.120.86,0.0,46.0,0.0,16.0,0,0.0,0,1.2251460666321038e-06
209.198.87.210,0.0,15.0,0.0,3.0,0,0.0,0,5.469402083179036e-07
64.191.223.42,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
64.18.5.10,0.0,10.0,0.0,2.0,0,0.0,0,4.3755216665432286e-07
202.0.183.130,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
75.126.136.140,0.0,3.0,0.0,1.0,0,0.0,0,2.844089083253099e-07
204.11.209.99,0.0,4.0,0.0,1.0,0,0.0,0,3.0628651665802595e-07
